airport,airport_name
STC,"St. Cloud, MN: St. Cloud Regional"
TOL,"Toledo, OH: Eugene F Kranz Toledo Express"
USA,"Concord, NC: Concord Padgett Regional"
ITO,"Hilo, HI: Hilo International"
PPG,"Pago Pago, TT: Pago Pago International"
ABI,"Abilene, TX: Abilene Regional"
ACT,"Waco, TX: Waco Regional"
ALO,"Waterloo, IA: Waterloo Regional"
BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional"
CMI,"Champaign/Urbana, IL: University of Illinois/Willard"
COU,"Columbia, MO: Columbia Regional"
DBQ,"Dubuque, IA: Dubuque Regional"
DLH,"Duluth, MN: Duluth International"
DRT,"Del Rio, TX: Del Rio International"
FSM,"Fort Smith, AR: Fort Smith Regional"
GCK,"Garden City, KS: Garden City Regional"
GGG,"Longview, TX: East Texas Regional"
JLN,"Joplin, MO: Joplin Regional"
LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional"
LSE,"La Crosse, WI: La Crosse Regional"
MGM,"Montgomery, AL: Montgomery Regional"
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional"
MQT,"Marquette, MI: Sawyer International"
PGV,"Greenville, NC: Pitt Greenville"
ROW,"Roswell, NM: Roswell Air Center"
SBP,"San Luis Obispo, CA: San Luis County Regional"
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field"
SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County"
SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field"
SWO,"Stillwater, OK: Stillwater Regional"
TXK,"Texarkana, AR: Texarkana Regional-Webb Field"
ACY,"Atlantic City, NJ: Atlantic City International"
LBE,"Latrobe, PA: Arnold Palmer Regional"
LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field"
ABR,"Aberdeen, SD: Aberdeen Regional"
ABY,"Albany, GA: Southwest Georgia Regional"
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
APN,"Alpena, MI: Alpena County Regional"
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field"
ATY,"Watertown, SD: Watertown Regional"
BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field"
BFL,"Bakersfield, CA: Meadows Field"
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
BJI,"Bemidji, MN: Bemidji Regional"
BQK,"Brunswick, GA: Brunswick Golden Isles"
BRD,"Brainerd, MN: Brainerd Lakes Regional"
BTM,"Butte, MT: Bert Mooney"
CDC,"Cedar City, UT: Cedar City Regional"
CGI,"Cape Girardeau, MO: Cape Girardeau Regional"
CIU,"Sault Ste. Marie, MI: Chippewa County International"
CMX,"Hancock/Houghton, MI: Houghton County Memorial"
CNY,"Moab, UT: Canyonlands Regional"
COD,"Cody, WY: Yellowstone Regional"
CPR,"Casper, WY: Casper/Natrona County International"
CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field"
DHN,"Dothan, AL: Dothan Regional"
DRO,"Durango, CO: Durango La Plata County"
DVL,"Devils Lake, ND: Devils Lake Regional"
EAR,"Kearney, NE: Kearney Regional"
EAU,"Eau Claire, WI: Chippewa Valley Regional"
EKO,"Elko, NV: Elko Regional"
ESC,"Escanaba, MI: Delta County"
FLG,"Flagstaff, AZ: Flagstaff Pulliam"
GCC,"Gillette, WY: Northeast Wyoming Regional"
GTR,"Columbus, MS: Golden Triangle Regional"
HIB,"Hibbing, MN: Range Regional"
HLN,"Helena, MT: Helena Regional"
HYS,"Hays, KS: Hays Regional"
IMT,"Iron Mountain/Kingsfd, MI: Ford"
INL,"International Falls, MN: Falls International Einarson Field"
ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International"
JMS,"Jamestown, ND: Jamestown Regional"
LAR,"Laramie, WY: Laramie Regional"
LBF,"North Platte, NE: North Platte Regional Airport Lee Bird Field"
LBL,"Liberal, KS: Liberal Mid-America Regional"
LWB,"Lewisburg, WV: Greenbrier Valley"
LWS,"Lewiston, ID: Lewiston Nez Perce County"
MEI,"Meridian, MS: Key Field"
MKG,"Muskegon, MI: Muskegon County"
MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport"
OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional"
PAE,"Everett, WA: Snohomish County"
PAH,"Paducah, KY: Barkley Regional"
PIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
PIH,"Pocatello, ID: Pocatello Regional"
PIR,"Pierre, SD: Pierre Regional"
PLN,"Pellston, MI: Pellston Regional Airport of Emmet County"
PRC,"Prescott, AZ: Prescott Regional Ernest A Love Field"
PUB,"Pueblo, CO: Pueblo Memorial"
RDD,"Redding, CA: Redding Municipal"
RHI,"Rhinelander, WI: Rhinelander/Oneida County"
RKS,"Rock Springs, WY: Southwest Wyoming Regional"
SAF,"Santa Fe, NM: Santa Fe Municipal"
SGU,"St. George, UT: St George Regional"
SHD,"Staunton, VA: Shenandoah Valley Regional"
SLN,"Salina, KS: Salina Regional"
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial"
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional"
UIN,"Quincy, IL: Quincy Regional-Baldwin Field"
VEL,"Vernal, UT: Vernal Regional"
VLD,"Valdosta, GA: Valdosta Regional"
XWA,"Williston, ND: Williston Basin International"
YUM,"Yuma, AZ: Yuma MCAS/Yuma International"
GUM,"Guam, TT: Guam International"
SPN,"Saipan, TT: Francisco C. Ada Saipan International"
HHH,"Hilton Head, SC: Hilton Head Airport"
HVN,"New Haven, CT: Tweed New Haven"
BKG,"Branson, MO: Branson Airport"
ACK,"Nantucket, MA: Nantucket Memorial"
MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport"
ISN,"Williston, ND: Sloulin Field International"
WYS,"West Yellowstone, MT: Yellowstone"
HYA,"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field"
AKN,"King Salmon, AK: King Salmon Airport"
DLG,"Dillingham, AK: Dillingham Airport"
GST,"Gustavus, AK: Gustavus Airport"
ART,"Watertown, NY: Watertown International"
FLO,"Florence, SC: Florence Regional"
IFP,"Bullhead City, AZ: Laughlin/Bullhead International"
YNG,"Youngstown/Warren, OH: Youngstown-Warren Regional"
FNL,"Fort Collins/Loveland, CO: Northern Colorado Regional"
UST,"St. Augustine, FL: Northeast Florida Regional"
TKI,"Tokeen, AK: Tokeen Airport"
ENV,"Wendover, UT: Wendover Airport"
EFD,"Houston, TX: Ellington"
DIK,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional"
ILG,"Wilmington, DE: New Castle"
CLD,"Carlsbad, CA: McClellan-Palomar"
CEC,"Crescent City, CA: Jack McNamara Field"
MCN,"Macon, GA: Middle Georgia Regional"
CIC,"Chico, CA: Chico Municipal"
